country_code,NY.GDP.PCAP.PP.KD,country_x,SE.SEC.ENRR,country_y,SE.XPD.TOTL.GD.ZS,country,hdi,life_expectancy,education_index,gni_per_capita,unemployment_rate,youth_unemployment,labor_force_participation
CUW,23751.4976048232,Curacao,129.470260620117,Curacao,5.11633014678955,Curacao,,,,,,,
CYM,72149.3268887498,Cayman Islands,97.3954010009766,Cayman Islands,1.45542001724243,Cayman Islands,,,,,,,
CYP,44203.890625,Cyprus,101.427406311035,Cyprus,5.63694000244141,Cyprus,,,,,,,
CZE,45119.9387309139,Czechia,99.3292617797852,Czechia,4.72159004211426,Czechia,,,,,,,
DEU,60342.6627037391,Germany,101.307800292969,Germany,5.59038019180298,Germany,,,,,,,
DJI,5791.47767679877,Djibouti,,,3.75143003463745,Djibouti,,,,,,,
DMA,14919.5307686719,Dominica,87.2360000610352,Dominica,4.69630002975464,Dominica,,,,,,,
DNK,65204.5493201041,Denmark,129.995193481445,Denmark,7.38354015350342,Denmark,,,,,,,
DOM,19545.4099552943,Dominican Republic,80.0444107055664,Dominican Republic,4.51769828796387,Dominican Republic,,,,,,,
DZA,14194.1557479619,Algeria,103.116470336914,Algeria,6.1939172744751,Algeria,,,,,,,
EAP,16816.8740665455,East Asia & Pacific (excluding high income),88.6906967163086,East Asia & Pacific (excluding high income),3.21652889251709,East Asia & Pacific (excluding high income),,,,,,,
EAR,10139.0530457977,Early-demographic dividend,75.8231811523438,Early-demographic dividend,4.09056520462036,Early-demographic dividend,,,,,,,
EAS,20199.122792753,East Asia & Pacific,89.9459686279297,East Asia & Pacific,3.65287351608276,East Asia & Pacific,,,,,,,
ECA,20316.7519594516,Europe & Central Asia (excluding high income),98.7807388305664,Europe & Central Asia (excluding high income),4.38912677764892,Europe & Central Asia (excluding high income),,,,,,,
ECS,39619.5422546046,Europe & Central Asia,103.279190063477,Europe & Central Asia,4.86263990402222,Europe & Central Asia,,,,,,,
ECU,12440.3263747814,Ecuador,94.6894073486328,Ecuador,4.26103019714355,Ecuador,,,,,,,
EGY,15309.2359881702,"Egypt, Arab Rep.",83.1626281738281,"Egypt, Arab Rep.",3.93084812164307,"Egypt, Arab Rep.",,,,,,,
EMU,50964.9886905069,Euro area,108.511093139648,Euro area,5.13956999778748,Euro area,,,,,,,
ERI,,,42.793707262685,Eritrea,,,,,,,,,
ESP,41553.4477945675,Spain,117.367767333984,Spain,4.89540004730225,Spain,,,,,,,
EST,41340.7646508087,Estonia,112.527702331543,Estonia,5.52696990966797,Estonia,,,,,,,
ETH,2516.54907642544,Ethiopia,34.8671396485425,Ethiopia,4.09056520462036,Ethiopia,,,,,,,
EUU,48792.1177780538,European Union,108.113830566406,European Union,4.87656021118164,European Union,,,,,,,
FCS,5298.71060981773,Fragile and conflict affected situations,46.8390693664551,Fragile and conflict affected situations,3.65287351608276,Fragile and conflict affected situations,,,,,,,
FIN,55424.8574989208,Finland,143.122909545898,Finland,6.6349401473999,Finland,,,,,,,
FJI,11254.9698172863,Fiji,90.1190414428711,Fiji,5.80519533157349,Fiji,,,,,,,
FRA,49311.333409639,France,104.566566467285,France,5.65981006622314,France,,,,,,,
FRO,65136.5694597249,Faroe Islands,,,,,,,,,,,
FSM,3850.53052491937,"Micronesia, Fed. Sts.",,,10.5389995574951,"Micronesia, Fed. Sts.",,,,,,,
GAB,18681.4840738546,Gabon,67.1427777469016,Gabon,3.39874076843262,Gabon,,,,,,,
GBR,47144.7221502814,United Kingdom,114.651649475098,United Kingdom,5.43935012817383,United Kingdom,,,,,,,
GEO,17031.1440283426,Georgia,107.726676940918,Georgia,3.8498592376709,Georgia,,,,,,,
GHA,6412.68541762469,Ghana,73.2740478515625,Ghana,3.40915989875793,Ghana,,,,,,,
GIB,,,116.622688293457,Gibraltar,,,,,,,,,
GIN,3630.99330577677,Guinea,37.3931079993499,Guinea,2.43267011642456,Guinea,,,,,,,
GMB,2702.31919474482,"Gambia, The",48.533618927002,"Gambia, The",2.88734579086304,"Gambia, The",,,,,,,
GNB,2413.67907791747,Guinea-Bissau,,,2.01027011871338,Guinea-Bissau,,,,,,,
GNQ,17089.153726379,Equatorial Guinea,,,,,,,,,,,
GRC,30487.1129331045,Greece,103.615829467773,Greece,4.49500036239624,Greece,,,,,,,
GRD,14656.7208773809,Grenada,102.078239440918,Grenada,3.55919337272644,Grenada,,,,,,,
GRL,68533.7339902964,Greenland,,,,,,,,,,,
GTM,11097.1500739277,Guatemala,51.9058113098145,Guatemala,3.29503011703491,Guatemala,,,,,,,
GUY,19234.1301977637,Guyana,85.2426528930664,Guyana,4.45058012008667,Guyana,,,,,,,
HKG,61328.539956836,"Hong Kong SAR, China",100.485191345215,"Hong Kong SAR, China",4.40562009811401,"Hong Kong SAR, China",,,,,,,
HND,5603.26398377777,Honduras,56.8269882202148,Honduras,5.97629117965698,Honduras,,,,,,,
HPC,2969.08490616678,Heavily indebted poor countries (HIPC),41.9092407226562,Heavily indebted poor countries (HIPC),3.59794998168945,Heavily indebted poor countries (HIPC),,,,,,,
HRV,32493.6254319725,Croatia,105.585418701172,Croatia,4.38901996612549,Croatia,,,,,,,
HTI,3229.47554356606,Haiti,,,1.371013879776,Haiti,,,,,,,
HUN,36119.5211735652,Hungary,101.993041992188,Hungary,4.1535701751709,Hungary,,,,,,,
IBD,15370.6572698761,IBRD only,86.5654296875,IBRD only,4.33204984664917,IBRD only,,,,,,,
IBT,12435.8919979409,IDA & IBRD total,73.4388275146484,IDA & IBRD total,4.09056520462036,IDA & IBRD total,,,,,,,
IDA,4441.75719336249,IDA total,48.4023513793945,IDA total,3.53101670742035,IDA total,,,,,,,
IDB,5418.44773942225,IDA blend,47.0247802734375,IDA blend,3.71980679035187,IDA blend,,,,,,,
